PimsId,Name
6196,Bim Afolami
5570,Steve Baker
5593,Andrew Bridgen
2598,Christopher Chope
6037,James Cleverly
5608,Therese Coffey
6189,Robert Courts
2876,David Davis
2979,Jonathan Djanogly
5689,Jackie Doyle-Price
4769,James Duddridge
3039,Iain Duncan Smith
5713,Charlie Elphicke
6060,Suella Braverman
3308,Liam Fox
3316,Mark Francois
4782,Michael Gove
3542,Chris Grayling
914,Chris Heaton-Harris
1032,Gerald Howarth
4789,Stewart Jackson
5595,Sajid Javid
1170,Bernard Jenkin
1387,Eleanor Laing
5673,Pauline Latham
5676,Andrea Leadsom
5681,Brandon Lewis
1501,Peter Lilley
1558,Tim Loughton
6105,Craig Mackinlay
6109,Kit Malthouse
5704,Stephen McPartland
5712,Nigel Mills
5714,Penny Mordaunt
5723,James Morris
5664,David Nuttall
118,Owen Paterson
4834,John Penrose
5624,Chris Pincher
5628,Jacob Rees-Mogg
5639,Alec Shelbrooke
5533,Henry Smith
4185,Desmond Swayne
6173,Michael Tomlinson
5540,Martin Vickers
4530,Angela Watkinson
4590,John Whittingdale
4600,Bill Wiggin
6097,Mike Wood
