PimsId,Name
3840,Richard Bacon
6199,Kemi Badenoch
4045,Crispin Blunt
4750,Peter Bone
6200,Andrew Bowie
6201,Ben Bradley
5593,Andrew Bridgen
2512,Bill Cash
6032,Maria Caulfield
2598,Christopher Chope
6207,Simon Clarke
6037,James Cleverly
2637,Geoffrey Clifton-Brown
6189,Robert Courts
4767,Philip Davies
6210,Leo Docherty
4768,Nadine Dorries
6054,Steve Double
4769,James Duddridge
3039,Iain Duncan Smith
5713,Charlie Elphicke
3173,Michael Fabricant
3316,Mark Francois
6066,Marcus Fysh
6073,Chris Green
5579,Gordon Henderson
6086,Kevin Hollinrake
4766,Adam Holloway
6091,Ranil Jayawardena
1170,Bernard Jenkin
6092,Andrea Jenkyns
6192,Caroline Johnson
5597,Gareth Johnson
4792,David Jones
6099,Julian Knight
5673,Pauline Latham
6240,Andrew Lewer
6211,Julia Lopez
1558,Tim Loughton
6105,Craig Mackinlay
6243,Rachel Maclean
4829,Anne Main
6110,Scott Mann
5707,Mark Menzies
5712,Nigel Mills
6248,Damien Moore
5726,Anne-Marie Morris
5731,Sheryll Murray
118,Owen Paterson
4834,John Penrose
6140,Tom Pursglove
6141,Jeremy Quin
329,John Redwood
5628,Jacob Rees-Mogg
6150,Paul Scully
6266,Bob Seely
5533,Henry Smith
6158,Royston Smith
4185,Desmond Swayne
6271,Ross Thomson
6173,Michael Tomlinson
6174,Craig Tracey
6175,Anne-Marie Trevelyan
5540,Martin Vickers
4452,Theresa Villiers
4590,John Whittingdale
4600,Bill Wiggin
6097,Mike Wood
6058,William Wragg
